Agreement,Year,Part,Section,Provision Reference,Provision Text,search_text
First Nation of Nacho Nyak Dun Final Agreement,1993,,,," PDF Version (910 KB, 395 Pages)", pdf version kb page
First Nation of Nacho Nyak Dun Final Agreement,1993,Amendments,,,Amendments to the Nacho Nyak Dun First Nation Final Agreement,amendment amendment nacho nyak dun final agreement
First Nation of Nacho Nyak Dun Final Agreement,1993,Amendments,,,Ministerial Amendment to the First Nation of Nacho Nyak Dun Final Agreement,amendment ministerial amendment nacho nyak dun final agreement
First Nation of Nacho Nyak Dun Final Agreement,1993,Signatures,,,"AGREEMENT made this _______ day of _______________________, 1993.",signature agreement made day
First Nation of Nacho Nyak Dun Final Agreement,1993,Signatures,,,AMONG:,signature among
First Nation of Nacho Nyak Dun Final Agreement,1993,Signatures,,,"Her Majesty the Queen in Right of Canada as represented by the Prime Minister and the (hereinafter referred to as ""Canada"");",signature majesty queen right canada represented prime minister hereinafter referred canada
First Nation of Nacho Nyak Dun Final Agreement,1993,Signatures,,,AND,signature 
First Nation of Nacho Nyak Dun Final Agreement,1993,Signatures,,,"The Government of the Yukon as represented by the Government Leader of the Yukon on behalf of the Yukon (hereinafter referred to as ""the Yukon"");",signature government yukon represented government leader yukon behalf yukon hereinafter referred yukon
First Nation of Nacho Nyak Dun Final Agreement,1993,Signatures,,,AND,signature 
First Nation of Nacho Nyak Dun Final Agreement,1993,Signatures,,,"The First Nation of Nacho Nyak Dun as represented by the Chief of the First Nation of Nacho Nyak Dun (hereinafter referred to as the ""First Nation of Nacho Nyak Dun"")",signature nacho nyak dun represented chief nacho nyak dun hereinafter referred nacho nyak dun
First Nation of Nacho Nyak Dun Final Agreement,1993,Signatures,,,"being the parties to this First Nation of Nacho Nyak Dun Final Agreement (hereinafter referred to as ""this Agreement"").",signature party nacho nyak dun final agreement hereinafter referred agreement
First Nation of Nacho Nyak Dun Final Agreement,1993,Signatures,,,WHEREAS:,signature whereas
First Nation of Nacho Nyak Dun Final Agreement,1993,Signatures,,,"The First Nation of Nacho Nyak Dun asserts aboriginal rights, titles and interests with respect to its Traditional Territory;",signature nacho nyak dun asserts aboriginal right title interest respect traditional territory
First Nation of Nacho Nyak Dun Final Agreement,1993,Signatures,,,"the First Nation of Nacho Nyak Dun wishes to retain, subject to this Agreement, the aboriginal rights, titles and interests it asserts with respect to its Settlement Land;",signature nacho nyak dun wish retain subject agreement aboriginal right title interest asserts respect settlement land
First Nation of Nacho Nyak Dun Final Agreement,1993,Signatures,,,the parties to this Agreement wish to recognize and protect a way of life that is based on an economic and spiritual relationship between Nacho Nyak Dun and the land;,signature party agreement wish recognize protect way life based economic spiritual relationship nacho nyak dun land
First Nation of Nacho Nyak Dun Final Agreement,1993,Signatures,,,the parties to this Agreement wish to encourage and protect the cultural distinctiveness and social well-being of Nacho Nyak Dun;,signature party agreement wish encourage protect cultural distinctiveness social wellbeing nacho nyak dun
First Nation of Nacho Nyak Dun Final Agreement,1993,Signatures,,,the parties to this Agreement recognize the significant contributions of Nacho Nyak Dun and the First Nation of Nacho Nyak Dun to the history and culture of the Yukon and Canada;,signature party agreement recognize significant contribution nacho nyak dun nacho nyak dun history culture yukon canada
First Nation of Nacho Nyak Dun Final Agreement,1993,Signatures,,,the parties to this Agreement wish to enhance the ability of Nacho Nyak Dun to participate fully in all aspects of the economy of the Yukon;,signature party agreement wish enhance ability nacho nyak dun participate fully aspect economy yukon
First Nation of Nacho Nyak Dun Final Agreement,1993,Signatures,,,"the Constitution Act, 1982 recognizes and affirms the existing aboriginal rights and treaty rights of the aboriginal peoples of Canada, and treaty rights include rights acquired by way of land claims agreements;",signature constitution act recognizes affirms existing aboriginal right treaty right aboriginal people canada treaty right include right acquired way land claim agreement
First Nation of Nacho Nyak Dun Final Agreement,1993,Signatures,,,the parties to this Agreement wish to achieve certainty with respect to the ownership and use of lands and other resources of the First Nation of Nacho Nyak Dun Traditional Territory;,signature party agreement wish achieve certainty respect ownership use land resource nacho nyak dun traditional territory
First Nation of Nacho Nyak Dun Final Agreement,1993,Signatures,,,the parties wish to achieve certainty with respect to their relationships to each other;,signature party wish achieve certainty respect relationship
First Nation of Nacho Nyak Dun Final Agreement,1993,Signatures,,,the parties to this Agreement have negotiated this land claims agreement securing for the First Nation of Nacho Nyak Dun and Nacho Nyak Dun the rights and benefits set out herein;,signature party agreement negotiated land claim agreement securing nacho nyak dun nacho nyak dun right benefit set herein
First Nation of Nacho Nyak Dun Final Agreement,1993,Signatures,,,"the First Nation of Nacho Nyak Dun, Canada and the Yukon have authorized their representatives to sign this land claims agreement;",signature nacho nyak dun canada yukon authorized representative sign land claim agreement
First Nation of Nacho Nyak Dun Final Agreement,1993,Signatures,,,"NOW THEREFORE,",signature therefore
First Nation of Nacho Nyak Dun Final Agreement,1993,Signatures,,,"Signed at __________, Yukon, the ___ day of ______________, 1993.",signature signed yukon day
First Nation of Nacho Nyak Dun Final Agreement,1993,Signatures,,,"_________________________
Robert Hager
Chief
First Nation of Nacho Nyak Dun",signature robert hager chief nacho nyak dun
First Nation of Nacho Nyak Dun Final Agreement,1993,Signatures,,,"______________________________
Witness",signature witness
First Nation of Nacho Nyak Dun Final Agreement,1993,Signatures,,,"___________________________
The Honourable Tom Siddon
Minister of Indian Affairs
and Northern Development",signature honourable tom siddon minister indian affair northern development
First Nation of Nacho Nyak Dun Final Agreement,1993,Signatures,,,"______________________________
Witness",signature witness
First Nation of Nacho Nyak Dun Final Agreement,1993,Signatures,,,"___________________________
John Ostashek
Government Leader of the Yukon",signature john ostashek government leader yukon
First Nation of Nacho Nyak Dun Final Agreement,1993,Signatures,,,"______________________________
Witness",signature witness
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"In the Umbrella Final Agreement, the following definitions shall apply unless otherwise provided in a particular chapter.",definition umbrella final agreement following definition shall apply unless otherwise provided particular
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Act"" includes ordinance.",definition act includes ordinance
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,Specific Provision,definition specific provision
First Nation of Nacho Nyak Dun Final Agreement,1993,Chapter 1 - Definitions,,,"""Assembly"" has the same meaning as in the First Nation of Nacho Nyak Dun Constitution.",definition assembly meaning nacho nyak dun constitution
