agreement,year,provisionNum,topic,provisionText
Anishinabek Nation Governance Agreement,2019,0,,Between
Anishinabek Nation Governance Agreement,2019,0,,"The First Nations set out in Schedule A
  as represented by their respective Ogiimak
  (hereinafter referred to as the ""First Nations"")"
Anishinabek Nation Governance Agreement,2019,0,,and
Anishinabek Nation Governance Agreement,2019,0,,"The Anishinabek Nation as represented by the Grand Council Ogiimah of the
  Anishinabek Nation/President of the Union of Ontario Indians,
  (hereinafter referred to as the ""Anishinabek Nation"")"
Anishinabek Nation Governance Agreement,2019,0,,and
Anishinabek Nation Governance Agreement,2019,0,,"Her Majesty the Queen in Right of Canada
  as represented by the Minister of Crown-Indigenous Relations,
  (hereinafter referred to as ""Canada"")"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Preamble
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Chapter 1

Definitions and Interpretation

Definitions
Interpretation
Statutory Instruments Act



"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Definitions and Interpretation

Definitions
Interpretation
Statutory Instruments Act

"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Definitions
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Interpretation
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Statutory Instruments Act
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Chapter 2

Purpose

"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Purpose
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Chapter 3

General Provisions

Nature of This Agreement
Aboriginal and Treaty Rights
Fiduciary Relationship
Canadian Charter of Rights and Freedoms
Liability
Indemnification
No Restrictions
Challenging this Agreement
Proof of Laws



"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"General Provisions

Nature of This Agreement
Aboriginal and Treaty Rights
Fiduciary Relationship
Canadian Charter of Rights and Freedoms
Liability
Indemnification
No Restrictions
Challenging this Agreement
Proof of Laws

"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Nature of This Agreement
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Aboriginal and Treaty Rights
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Fiduciary Relationship
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Canadian Charter of Rights and Freedoms
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Liability
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Indemnification
Anishinabek Nation Governance Agreement,2019,0,Table of contents,No Restrictions
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Challenging this Agreement
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Proof of Laws
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Chapter 4

 Anishinabek Nation Government

Legal Status and Capacity
Anishinabek Nation Constitution
Exercise of Law-Making Powers and Other Authorities
Repository of Laws
Leadership Selection
Anishinabek Nation E'Dbendaagzijig Law
Culture and Language
Management and Operation
Effective Date of Anishinabek Nation Law
Delegation of Authority by the Anishinabek Nation
Proposed Law or Decision
Participation in Anishinaabe Institutions
Appeal or Review of an Anishinabek Nation Decision
Anishinaabe Institution for the Appeal or Review of a Decision



"
Anishinabek Nation Governance Agreement,2019,0,Table of contents," Anishinabek Nation Government

Legal Status and Capacity
Anishinabek Nation Constitution
Exercise of Law-Making Powers and Other Authorities
Repository of Laws
Leadership Selection
Anishinabek Nation E'Dbendaagzijig Law
Culture and Language
Management and Operation
Effective Date of Anishinabek Nation Law
Delegation of Authority by the Anishinabek Nation
Proposed Law or Decision
Participation in Anishinaabe Institutions
Appeal or Review of an Anishinabek Nation Decision
Anishinaabe Institution for the Appeal or Review of a Decision

"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Legal Status and Capacity
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Anishinabek Nation Constitution
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Exercise of Law-Making Powers and Other Authorities
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Repository of Laws
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Leadership Selection
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Anishinabek Nation E'Dbendaagzijig Law
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Culture and Language
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Management and Operation
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Effective Date of Anishinabek Nation Law
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Delegation of Authority by the Anishinabek Nation
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Proposed Law or Decision
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Participation in Anishinaabe Institutions
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Appeal or Review of an Anishinabek Nation Decision
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Anishinaabe Institution for the Appeal or Review of a Decision
Anishinabek Nation Governance Agreement,2019,0,Table of contents," Chapter 5

First Nations Governments

Legal Status and Capacity
Constitutions of the First Nations
Exercise of Law-Making Powers and Other Authorities
Leadership Selection
E'Dbendaagzijig Law
Culture and Language
Management and Operation
Effective Date of a First Nation Law
Delegation of Law-Making Powers by a First Nation
Delegation of Authority by a First Nation
Proposed Law or Decision
Participation in Anishinaabe Institutions
Appeal or Review of a First Nation Decision
Anishinaabe Institution for the Appeal or Review of a First Nation Decision



"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"First Nations Governments

Legal Status and Capacity
Constitutions of the First Nations
Exercise of Law-Making Powers and Other Authorities
Leadership Selection
E'Dbendaagzijig Law
Culture and Language
Management and Operation
Effective Date of a First Nation Law
Delegation of Law-Making Powers by a First Nation
Delegation of Authority by a First Nation
Proposed Law or Decision
Participation in Anishinaabe Institutions
Appeal or Review of a First Nation Decision
Anishinaabe Institution for the Appeal or Review of a First Nation Decision

"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Legal Status and Capacity
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Constitutions of the First Nations
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Exercise of Law-Making Powers and Other Authorities
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Leadership Selection
Anishinabek Nation Governance Agreement,2019,0,Table of contents,E'Dbendaagzijig Law
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Culture and Language
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Management and Operation
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Effective Date of a First Nation Law
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Delegation of Law-Making Powers by a First Nation
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Delegation of Authority by a First Nation
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Proposed Law or Decision
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Participation in Anishinaabe Institutions
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Appeal or Review of a First Nation Decision
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Anishinaabe Institution for the Appeal or Review of a First Nation Decision
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Chapter 6

Enforcement and Adjudication Laws

Voluntary Settlement of Disputes
Traditional Anishinaabe Processes
Offences and Sanctions
Enforcement
Prosecution
Procedures
Disposition of Fines
Adjudication



"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Enforcement and Adjudication Laws

Voluntary Settlement of Disputes
Traditional Anishinaabe Processes
Offences and Sanctions
Enforcement
Prosecution
Procedures
Disposition of Fines
Adjudication

"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Voluntary Settlement of Disputes
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Traditional Anishinaabe Processes
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Offences and Sanctions
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Enforcement
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Prosecution
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Procedures
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Disposition of Fines
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Adjudication
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Chapter 7

Intergovernmental Forum

"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Intergovernmental Forum
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Chapter 8

Financial Relationship and Fiscal Arrangements

Financial Relationship Between the Parties
Anishinabek Nation Fiscal Agreement
Transition from Existing Funding Arrangements to the Anishinabek Nation Fiscal Agreement
Accountability
Third Party Management



"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Financial Relationship and Fiscal Arrangements

Financial Relationship Between the Parties
Anishinabek Nation Fiscal Agreement
Transition from Existing Funding Arrangements to the Anishinabek Nation Fiscal Agreement
Accountability
Third Party Management

"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Financial Relationship Between the Parties
Anishinabek Nation Fiscal Agreement
Transition from Existing Funding Arrangements to the Anishinabek Nation Fiscal Agreement
Accountability
Third Party Management
"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Anishinabek Nation Fiscal Agreement
Transition from Existing Funding Arrangements to the Anishinabek Nation Fiscal Agreement
Accountability
Third Party Management
"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Transition from Existing Funding Arrangements to the Anishinabek Nation Fiscal Agreement
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Accountability
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Third Party Management
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Chapter 9

Acess to Information and Privacy

"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Acess to Information and Privacy
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Chapter 10

Transitional Provisions

Effective Date
Indian Act Transition
Initial Laws
Application of First Nations Land Management Act
Application of First Nations Elections Act



"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Transitional Provisions

Effective Date
Indian Act Transition
Initial Laws
Application of First Nations Land Management Act
Application of First Nations Elections Act

"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Effective Date
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Indian Act Transition
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Initial Laws
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Application of First Nations Land Management Act
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Application of First Nations Elections Act
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Chapter 11

Relationship of Laws

Relationship of Laws
Application of Federal Laws
Application of Provincial Laws
Conflict of Laws
Canada's International Legal Obligations



"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Relationship of Laws

Relationship of Laws
Application of Federal Laws
Application of Provincial Laws
Conflict of Laws
Canada's International Legal Obligations

"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Relationship of Laws
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Application of Federal Laws
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Application of Provincial Laws
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Conflict of Laws
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Canada's International Legal Obligations
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Chapter 12

Relationship Between this Governance Agreement and the Anishinabek Nation Education Agreement

Fiscal Agreement



"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Relationship Between this Governance Agreement and the Anishinabek Nation Education Agreement

Fiscal Agreement

"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Fiscal Agreement
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Chapter 13

Future Negotiations

Negotiation Principles



"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Future Negotiations

Negotiation Principles

"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Negotiation Principles
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Chapter 14

Amendments

Amendment of this Agreement
Addition of a First Nation as a Party after the Effective Date



"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Amendments

Amendment of this Agreement
Addition of a First Nation as a Party after the Effective Date

"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Amendment of this Agreement
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Addition of a First Nation as a Party after the Effective Date
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Chapter 15

Ratification

Eligible Voter
General Principles
Ballot Question
Ratification Threshold
Ratification Committee
Communicating Results of the First Nations' Votes
Ratification by Canada
Consultation on Federal Legislation



"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,"Ratification

Eligible Voter
General Principles
Ballot Question
Ratification Threshold
Ratification Committee
Communicating Results of the First Nations' Votes
Ratification by Canada
Consultation on Federal Legislation

"
Anishinabek Nation Governance Agreement,2019,0,Table of contents,Eligible Voter
