agreement,year,provisionNum,topic,provisionText
Sioux Valley Dakota Nation Governance Agreement and Tripartite Governance Agreement,2013,0,,"For information regarding reproduction rights, please contact Public Works and Government Services Canada at: 613-996-6886 or at: droitdauteur.copyright@tpsgc-pwgsc.gc.ca"
Sioux Valley Dakota Nation Governance Agreement and Tripartite Governance Agreement,2013,0,,"
  1-800-567-9604 
  TTY only 1-866-553-0554 "
Sioux Valley Dakota Nation Governance Agreement and Tripartite Governance Agreement,2013,0,,"© Her Majesty the Queen in right of Canada, 
  represented by the Minister of Aboriginal Affairs and Northern Development, 2013"
Sioux Valley Dakota Nation Governance Agreement and Tripartite Governance Agreement,2013,0,,"PDF Version (1,3 Mb, 240 pages)"
Sioux Valley Dakota Nation Governance Agreement and Tripartite Governance Agreement,2013,0,Table of contents,Preamble
Sioux Valley Dakota Nation Governance Agreement and Tripartite Governance Agreement,2013,0,Table of contents,Part 1: Definitions and Interpretation
Sioux Valley Dakota Nation Governance Agreement and Tripartite Governance Agreement,2013,0,Table of contents,Part 2: The Government-to-Government Relationship
Sioux Valley Dakota Nation Governance Agreement and Tripartite Governance Agreement,2013,0,Table of contents,Part 3: Capacity of Sioux Valley Dakota Oyate Government
Sioux Valley Dakota Nation Governance Agreement and Tripartite Governance Agreement,2013,0,Table of contents,Part 4: The Sioux Valley Dakota Nation Constitution
Sioux Valley Dakota Nation Governance Agreement and Tripartite Governance Agreement,2013,0,Table of contents,Part 5: Sioux Valley Dakota Nation Jurisdiction
Sioux Valley Dakota Nation Governance Agreement and Tripartite Governance Agreement,2013,0,Table of contents,Part 6: Relationship of Laws
Sioux Valley Dakota Nation Governance Agreement and Tripartite Governance Agreement,2013,0,Table of contents,Part 7: Delegation of Government Functions
Sioux Valley Dakota Nation Governance Agreement and Tripartite Governance Agreement,2013,0,Table of contents,Part 8: Sioux Valley Dakota Nation Lands
Sioux Valley Dakota Nation Governance Agreement and Tripartite Governance Agreement,2013,0,Table of contents,Part 9: Justice Matters
Sioux Valley Dakota Nation Governance Agreement and Tripartite Governance Agreement,2013,0,Table of contents,Part 10: Fiscal Relationship and Financial Arrangements
Sioux Valley Dakota Nation Governance Agreement and Tripartite Governance Agreement,2013,0,Table of contents,Part 11: Taxation Matters
Sioux Valley Dakota Nation Governance Agreement and Tripartite Governance Agreement,2013,0,Table of contents,Part 12: Intergovernmental Relations and Implementation
Sioux Valley Dakota Nation Governance Agreement and Tripartite Governance Agreement,2013,0,Table of contents,Part 13: Dispute Resolution
Sioux Valley Dakota Nation Governance Agreement and Tripartite Governance Agreement,2013,0,Table of contents,Part 14: Amendment of this Agreement
Sioux Valley Dakota Nation Governance Agreement and Tripartite Governance Agreement,2013,0,Table of contents,Part 15: Miscellaneous Provisions
Sioux Valley Dakota Nation Governance Agreement and Tripartite Governance Agreement,2013,0,Table of contents,Part 16: Legal Measures
Sioux Valley Dakota Nation Governance Agreement and Tripartite Governance Agreement,2013,0,Table of contents,Part 17: Coming into Effect
Sioux Valley Dakota Nation Governance Agreement and Tripartite Governance Agreement,2013,0,Table of contents,"Schedule ""A"":  Legislation referred to in the Governance Agreement"
Sioux Valley Dakota Nation Governance Agreement and Tripartite Governance Agreement,2013,0,Table of contents,"Schedule ""B"":  Matters to be provided for in a Sioux Valley Dakota Nation Law dealing with the Environmental Assessment of Projects on Sioux Valley Dakota Nation Lands"
