agreement,year,provisionNum,topic,provisionText
Tsawwassen First Nation Final Agreement,2007,0,," PDF version (1,714 KB)"
Tsawwassen First Nation Final Agreement,2007,0,Table of contents,Signatories
Tsawwassen First Nation Final Agreement,2007,0,Table of contents,Preamble
Tsawwassen First Nation Final Agreement,2007,0,Table of contents,Chapter 1 - Definitions
Tsawwassen First Nation Final Agreement,2007,0,Table of contents,Chapter 2 - General provisions
Tsawwassen First Nation Final Agreement,2007,0,Table of contents,Chapter 3 - Transition
Tsawwassen First Nation Final Agreement,2007,0,Table of contents,Chapter 4 - Lands
Tsawwassen First Nation Final Agreement,2007,0,Table of contents,Chapter 5 - Land title
Tsawwassen First Nation Final Agreement,2007,0,Table of contents,Chapter 6 - Land management
Tsawwassen First Nation Final Agreement,2007,0,Table of contents,Chapter 7 - Access
Tsawwassen First Nation Final Agreement,2007,0,Table of contents,Chapter 8 - Forest resources
Tsawwassen First Nation Final Agreement,2007,0,Table of contents,Chapter 9 - Fisheries
Tsawwassen First Nation Final Agreement,2007,0,Table of contents,Chapter 10 - Wildlife
Tsawwassen First Nation Final Agreement,2007,0,Table of contents,Chapter 11 - Migratory birds
Tsawwassen First Nation Final Agreement,2007,0,Table of contents,Chapter 12 - National parks and national marine conservation areas
Tsawwassen First Nation Final Agreement,2007,0,Table of contents,Chapter 13 - Provincial parks and gathering
Tsawwassen First Nation Final Agreement,2007,0,Table of contents,Chapter 14 - Culture and heritage
Tsawwassen First Nation Final Agreement,2007,0,Table of contents,Chapter 15 - Environmental management
Tsawwassen First Nation Final Agreement,2007,0,Table of contents,Chapter 16 - Governance
Tsawwassen First Nation Final Agreement,2007,0,Table of contents,Chapter 17 - Intergovernmental relations and services
Tsawwassen First Nation Final Agreement,2007,0,Table of contents,Chapter 18 - Capital transfer and negotiation loan repayment
Tsawwassen First Nation Final Agreement,2007,0,Table of contents,Chapter 19 - Fiscal relations
Tsawwassen First Nation Final Agreement,2007,0,Table of contents,Chapter 20 - Taxation
Tsawwassen First Nation Final Agreement,2007,0,Table of contents,Chapter 21 - Eligibility and enrolment
Tsawwassen First Nation Final Agreement,2007,0,Table of contents,Chapter 22 - Dispute resolution
Tsawwassen First Nation Final Agreement,2007,0,Table of contents,Chapter 23 - Amendment
Tsawwassen First Nation Final Agreement,2007,0,Table of contents,Chapter 24 - Ratification of the final agreement
Tsawwassen First Nation Final Agreement,2007,0,Table of contents,Chapter 25 - Implementation
Tsawwassen First Nation Final Agreement,2007,0,Table of contents,Tsawwassen First Nation final agreement errata
Tsawwassen First Nation Final Agreement,2007,0,Appendices,See appendices - Tsawwassen First Nation Final Agreement
Tsawwassen First Nation Final Agreement,2007,0,Appendices,Appendix A: Map of Tsawwassen Territory
Tsawwassen First Nation Final Agreement,2007,0,Appendices,"Appendix B: Map of Tsawwassen Lands, Other Tsawwassen Lands and Rights of Refusal Lands"
Tsawwassen First Nation Final Agreement,2007,0,Appendices,Appendix C: Tsawwassen Lands
Tsawwassen First Nation Final Agreement,2007,0,Appendices,Appendix D: Interests in Tsawwassen Lands
Tsawwassen First Nation Final Agreement,2007,0,Appendices,Appendix E: Other Tsawwassen Lands
Tsawwassen First Nation Final Agreement,2007,0,Appendices,Appendix F: Tsawwassen Water Lots
Tsawwassen First Nation Final Agreement,2007,0,Appendices,Appendix G: Application of the Agricultural Land Reserve
Tsawwassen First Nation Final Agreement,2007,0,Appendices,Appendix H: Rights of Refusal Lands
Tsawwassen First Nation Final Agreement,2007,0,Appendices,Appendix I: Specified Lands
Tsawwassen First Nation Final Agreement,2007,0,Appendices,Appendix J: Tsawwassen Fishing
Tsawwassen First Nation Final Agreement,2007,0,Appendices,Appendix K: Tsawwassen Wildlife Harvest Area
Tsawwassen First Nation Final Agreement,2007,0,Appendices,Appendix L: Tsawwassen Migratory Bird Harvest Area
Tsawwassen First Nation Final Agreement,2007,0,Appendices,Appendix M: Tsawwassen Plant Gathering Areas
Tsawwassen First Nation Final Agreement,2007,0,Appendices,Appendix N: National Parks within Tsawwassen Territory
Tsawwassen First Nation Final Agreement,2007,0,Appendices,Appendix O: Tsawwassen Heritage Sites and Key Geographic Features
Tsawwassen First Nation Final Agreement,2007,0,Appendices,Appendix P: Dispute Resolution Procedures
Tsawwassen First Nation Final Agreement,2007,0,Appendices,Appendix Q: Highway 17 Corridor
Tsawwassen First Nation Final Agreement,2007,0,Appendices,Appendix R: Map of Deltaport Way Corridor
Tsawwassen First Nation Final Agreement,2007,0,Signatories to the agreement,"Signed by the Parties to the Tsawwassen First Nation Final Agreement and dated for reference this 6th day of December, 2007 / Signé par les parties à l'Accord définitif de la Première Nation de Tsawwassen et ayant comme date de référence le 6th décembre 2007."
Tsawwassen First Nation Final Agreement,2007,0,Signatories to the agreement,"FOR THE TSAWWASSEN FIRST NATION / POUR LA PREMIÈRE NATION DE TSAWWASSEN  signed in the province of Ontario this 6th day of December, 2007 / Signé dans la province de l'Ontario le 6th décembre 2007."
Tsawwassen First Nation Final Agreement,2007,0,Signatories to the agreement,"_______________________________
Kim Baird
Chief, Tsawwassen First Nation/chef de la Première Nation de Tsawwassen
"
Tsawwassen First Nation Final Agreement,2007,0,Signatories to the agreement,"_______________________________
Witnessed by/Témoin : Laura Cassidy	 
Councillor, Tsawwassen First Nation/conseillère de la Première Nation de Tsawwassen
"
Tsawwassen First Nation Final Agreement,2007,0,Signatories to the agreement,"FOR HER MAJESTY THE QUEEN IN RIGHT OF CANADA/POUR SA MAJESTÉ LA REINE DU CHEF DU CANADA : signed in the province of Ontario, this 6th day of December, 2007 / Signé dans la province de l'Ontario le 6th décembre 2007."
Tsawwassen First Nation Final Agreement,2007,0,Signatories to the agreement,"_______________________________
Her Majesty the Queen in Right of Canada as represented by/Sa Majesté la Reine du chef du Canada représentée par :
The Honourable Chuck Strahl, P.C., M.P., Minister of Indian Affairs and Northern Development/l'honorable Chuck Strahl, C.P., député, ministre des Affaires indiennes et du Nord canadien.
"
Tsawwassen First Nation Final Agreement,2007,0,Signatories to the agreement,"____________________________
	Witnessed by/Témoin : Tim E. Koepke
	Chief Federal Negotiator/négociateur fédéral en chef
"
Tsawwassen First Nation Final Agreement,2007,0,Signatories to the agreement,"FOR HER MAJESTY THE QUEEN IN RIGHT OF BRITISH COLUMBIA/POUR SA MAJESTÉ LA REINE DU CHEF DE LA COLOMBIE-BRITANNIQUE  : signed in the province of Ontario, this 6th day of December, 2007 / Signé dans la province de l'Ontario le 6th décembre 2007."
Tsawwassen First Nation Final Agreement,2007,0,Signatories to the agreement,"_______________________________
Her Majesty the Queen in Right of British Columbia as represented by/Sa Majesté la Reine du chef de la Colombie-Britannique représentée par :
The Honourable Michael de Jong, Minister, Aboriginal Relations and Reconciliation/ l'honorable Michael de Jong, ministre - Aboriginal Relations and Reconciliation	
	
	
"
Tsawwassen First Nation Final Agreement,2007,0,Signatories to the agreement,"_______________________________
Witnessed by/Témoin : Bronwen Beedle
Chief Provincial Negotiator/négociatrice provinciale en chef"
Tsawwassen First Nation Final Agreement,2007,0a,Whereas:,"Tsawwassen First Nation are Coast Salish, an aboriginal people, and speak a dialect of the Hun'qum'i'num language;"
Tsawwassen First Nation Final Agreement,2007,0b,Whereas:,"Tsawwassen First Nation claim aboriginal rights based on their assertion of a unique, current and historical, cultural connection and use, since time immemorial, to the lands, waters and resources surrounding those areas of Roberts Bank, the Fraser River, the Fraser River estuary, Pitt Lake, the Pitt River, the Serpentine River, the Nicomekl River, Boundary Bay and the Gulf Islands, that comprise Tsawwassen Territory in Canada;"
Tsawwassen First Nation Final Agreement,2007,0c,Whereas:,"The Constitution Act, 1982 recognizes and affirms the existing aboriginal and treaty rights of the aboriginal peoples of Canada, and the courts have stated that aboriginal rights include aboriginal title;"
Tsawwassen First Nation Final Agreement,2007,0d,Whereas:,"Tsawwassen First Nation asserts that it has an inherent right to self-government, and the Government of Canada has negotiated self-government in this Agreement based on its policy that the inherent right to self-government is an existing aboriginal right within Section 35 of the Constitution Act, 1982;"
Tsawwassen First Nation Final Agreement,2007,0e,Whereas:,Tsawwassen First Nation has never entered into a treaty or land claims agreement with the Crown;
Tsawwassen First Nation Final Agreement,2007,0f,Whereas:,Canada established Tsawwassen Indian Reserve for the benefit of the Tsawwassen Indian Band;
Tsawwassen First Nation Final Agreement,2007,0g,Whereas:,"Tsawwassen First Nation and Canada are signatories to the Framework Agreement on First Nation Land Management, and Canada transferred to Tsawwassen First Nation land management authority for Tsawwassen Indian Reserve;"
Tsawwassen First Nation Final Agreement,2007,0h,Whereas:,"Tsawwassen First Nation's existing aboriginal rights are recognized and affirmed by the Constitution Act, 1982, and the Parties have negotiated this Agreement under the British Columbia Treaty Commission process to provide certainty in respect of those rights and to allow them to continue and to have the effect and be exercised as set out in this Agreement;"
Tsawwassen First Nation Final Agreement,2007,0i,Whereas:,"Canada and British Columbia acknowledge the perspective of Tsawwassen First Nation that harm and losses in relation to its aboriginal rights have occurred in the past and express regret if any acts or omissions of the Crown have contributed to that perspective, and the Parties rely on this Agreement to move them beyond the difficult circumstances of the past;"
