agreement,year,provisionNum,topic,provisionText
Westbank First Nation Self Government Agreement,2003,0,Agreement between Her Majesty the Queen in Right of Canada and Westbank First Nation,"  PDF Version (293 Kb, 89 pages)"
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Preamble
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part I - Definitions
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part II - Fundamental Principles
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part III - Legal Status and Capacity
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part IV - Powers of Government
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part V - Application of Law
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part VI - Structures and Procedures of Government
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part VII - Westbank First Nation Membership
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part VIII - Wills and Estates
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part IX - Financial Management
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part X - Westbank Lands and Land Management
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part XI - Landlord and Tenant
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part XII - Resource Management
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part XIII - Agriculture
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part XIV - Environment
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part XV - Culture and Language
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part XVI - Education
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part XVII - Health Services
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part XVIII - Enforcement of Westbank Law
Westbank First Nation Self Government Agreement,2003,0,Table of contents,"Part XIX - Licensing, Regulation and Operation of Businesses"
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part XX - Traffic and Transportation
Westbank First Nation Self Government Agreement,2003,0,Table of contents,"Part XXI - Public Works, Community Infrastructure and Local Services"
Westbank First Nation Self Government Agreement,2003,0,Table of contents,"Part XXII - Public Order, Peace and Safety"
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part XXIII - Prohibition of Intoxicants
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part XXIV - Future Negotiations
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part XXV - Financial Arrangements
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part XXVI - Principles of Implementation
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part XXVII - Taxation Treatment
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part XXVIII - Tax Agreements
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part XXIX - Transfer of Capital and Revenue Moneys
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part XXX - Dispute Resolution
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part XXXI - Indian Act Provisions
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part XXXII - Ratification
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Part XXXIII - General
Westbank First Nation Self Government Agreement,2003,0,Table of contents,Schedule A - Ratification of the Westbank First Nation Self-Government Agreement
Westbank First Nation Self Government Agreement,2003,0,Preamble,"This Agreement is made the _____ day of _______________, 2003,"
Westbank First Nation Self Government Agreement,2003,0,Preamble,BETWEEN:
Westbank First Nation Self Government Agreement,2003,0,Preamble,"WESTBANK FIRST NATION, as represented by the Chief and Council of Westbank First Nation, hereinafter referred to as ""Westbank First Nation"","
Westbank First Nation Self Government Agreement,2003,0,Preamble,AND:
Westbank First Nation Self Government Agreement,2003,0,Preamble,"HER MAJESTY THE QUEEN in right of Canada, as represented by the Minister of Indian Affairs and Northern Development, hereinafter referred to as ""Canada""."
Westbank First Nation Self Government Agreement,2003,0,Preamble,WHEREAS:
Westbank First Nation Self Government Agreement,2003,0,Preamble,"the Parties entered into an Agreement-in-Principle on July 13, 1998 which contemplated a Final Agreement to be concluded substantially in the form of the Agreement-in-Principle;"
Westbank First Nation Self Government Agreement,2003,0,Preamble,WHEREAS:
Westbank First Nation Self Government Agreement,2003,0,Preamble,"the Government of Canada recognizes that the inherent right of self-government is an existing aboriginal right within section 35 of the Constitution Act, 1982;"
