Agreement,Year,Part,Section,Provision Reference,Provision Text,search_part,search_text
Tsawwassen First Nation Final Agreement,2007,,,," PDF version (1,714 KB)",,pdf version kb
Tsawwassen First Nation Final Agreement,2007,Appendices,,,See appendices - Tsawwassen First Nation Final Agreement,appendix,see appendix final agreement
Tsawwassen First Nation Final Agreement,2007,Appendices,,,Appendix A: Map of Tsawwassen Territory,appendix,appendix map territory
Tsawwassen First Nation Final Agreement,2007,Appendices,,,"Appendix B: Map of Tsawwassen Lands, Other Tsawwassen Lands and Rights of Refusal Lands",appendix,appendix b map land land right refusal land
Tsawwassen First Nation Final Agreement,2007,Appendices,,,Appendix C: Tsawwassen Lands,appendix,appendix c land
Tsawwassen First Nation Final Agreement,2007,Appendices,,,Appendix D: Interests in Tsawwassen Lands,appendix,appendix interest land
Tsawwassen First Nation Final Agreement,2007,Appendices,,,Appendix E: Other Tsawwassen Lands,appendix,appendix e land
Tsawwassen First Nation Final Agreement,2007,Appendices,,,Appendix F: Tsawwassen Water Lots,appendix,appendix f water lot
Tsawwassen First Nation Final Agreement,2007,Appendices,,,Appendix G: Application of the Agricultural Land Reserve,appendix,appendix g application agricultural land reserve
Tsawwassen First Nation Final Agreement,2007,Appendices,,,Appendix H: Rights of Refusal Lands,appendix,appendix h right refusal land
Tsawwassen First Nation Final Agreement,2007,Appendices,,,Appendix I: Specified Lands,appendix,appendix specified land
Tsawwassen First Nation Final Agreement,2007,Appendices,,,Appendix J: Tsawwassen Fishing,appendix,appendix j fishing
Tsawwassen First Nation Final Agreement,2007,Appendices,,,Appendix K: Tsawwassen Wildlife Harvest Area,appendix,appendix k wildlife harvest area
Tsawwassen First Nation Final Agreement,2007,Appendices,,,Appendix L: Tsawwassen Migratory Bird Harvest Area,appendix,appendix l migratory bird harvest area
Tsawwassen First Nation Final Agreement,2007,Appendices,,,Appendix M: Tsawwassen Plant Gathering Areas,appendix,appendix plant gathering area
Tsawwassen First Nation Final Agreement,2007,Appendices,,,Appendix N: National Parks within Tsawwassen Territory,appendix,appendix n national park within territory
Tsawwassen First Nation Final Agreement,2007,Appendices,,,Appendix O: Tsawwassen Heritage Sites and Key Geographic Features,appendix,appendix heritage site key geographic feature
Tsawwassen First Nation Final Agreement,2007,Appendices,,,Appendix P: Dispute Resolution Procedures,appendix,appendix p dispute resolution procedure
Tsawwassen First Nation Final Agreement,2007,Appendices,,,Appendix Q: Highway 17 Corridor,appendix,appendix q highway corridor
Tsawwassen First Nation Final Agreement,2007,Appendices,,,Appendix R: Map of Deltaport Way Corridor,appendix,appendix r map deltaport way corridor
Tsawwassen First Nation Final Agreement,2007,Signatories to the agreement,,,"Signed by the Parties to the Tsawwassen First Nation Final Agreement and dated for reference this 6th day of December, 2007 / Signé par les parties à l'Accord définitif de la Première Nation de Tsawwassen et ayant comme date de référence le 6th décembre 2007.",signatory agreement,signed party final agreement dated reference th day december signé par le party à laccord définitif de la première de et ayant comme date de référence le th décembre
Tsawwassen First Nation Final Agreement,2007,Signatories to the agreement,,,"FOR THE TSAWWASSEN FIRST NATION / POUR LA PREMIÈRE NATION DE TSAWWASSEN  signed in the province of Ontario this 6th day of December, 2007 / Signé dans la province de l'Ontario le 6th décembre 2007.",signatory agreement,pour la première de signed province ontario th day december signé dans la province de lontario le th décembre
Tsawwassen First Nation Final Agreement,2007,Signatories to the agreement,,,"_______________________________
Kim Baird
Chief, Tsawwassen First Nation/chef de la Première Nation de Tsawwassen
",signatory agreement,kim baird chief nationchef de la première de
Tsawwassen First Nation Final Agreement,2007,Signatories to the agreement,,,"_______________________________
Witnessed by/Témoin : Laura Cassidy	 
Councillor, Tsawwassen First Nation/conseillère de la Première Nation de Tsawwassen
",signatory agreement,witnessed bytémoin laura cassidy councillor nationconseillère de la première de
Tsawwassen First Nation Final Agreement,2007,Signatories to the agreement,,,"FOR HER MAJESTY THE QUEEN IN RIGHT OF CANADA/POUR SA MAJESTÉ LA REINE DU CHEF DU CANADA : signed in the province of Ontario, this 6th day of December, 2007 / Signé dans la province de l'Ontario le 6th décembre 2007.",signatory agreement,majesty queen right canadapour sa majesté la reine du chef du canada signed province ontario th day december signé dans la province de lontario le th décembre
Tsawwassen First Nation Final Agreement,2007,Signatories to the agreement,,,"_______________________________
Her Majesty the Queen in Right of Canada as represented by/Sa Majesté la Reine du chef du Canada représentée par :
The Honourable Chuck Strahl, P.C., M.P., Minister of Indian Affairs and Northern Development/l'honorable Chuck Strahl, C.P., député, ministre des Affaires indiennes et du Nord canadien.
",signatory agreement,majesty queen right canada represented bysa majesté la reine du chef du canada représentée par honourable chuck strahl pc mp minister indian affair northern developmentlhonorable chuck strahl cp député ministre de affaire indiennes et du nord canadien
Tsawwassen First Nation Final Agreement,2007,Signatories to the agreement,,,"____________________________
	Witnessed by/Témoin : Tim E. Koepke
	Chief Federal Negotiator/négociateur fédéral en chef
",signatory agreement,witnessed bytémoin tim e koepke chief federal negotiatornégociateur fédéral en chef
Tsawwassen First Nation Final Agreement,2007,Signatories to the agreement,,,"FOR HER MAJESTY THE QUEEN IN RIGHT OF BRITISH COLUMBIA/POUR SA MAJESTÉ LA REINE DU CHEF DE LA COLOMBIE-BRITANNIQUE  : signed in the province of Ontario, this 6th day of December, 2007 / Signé dans la province de l'Ontario le 6th décembre 2007.",signatory agreement,majesty queen right british columbiapour sa majesté la reine du chef de la colombiebritannique signed province ontario th day december signé dans la province de lontario le th décembre
Tsawwassen First Nation Final Agreement,2007,Signatories to the agreement,,,"_______________________________
Her Majesty the Queen in Right of British Columbia as represented by/Sa Majesté la Reine du chef de la Colombie-Britannique représentée par :
The Honourable Michael de Jong, Minister, Aboriginal Relations and Reconciliation/ l'honorable Michael de Jong, ministre - Aboriginal Relations and Reconciliation	
	
	
",signatory agreement,majesty queen right british columbia represented bysa majesté la reine du chef de la colombiebritannique représentée par honourable michael de jong minister aboriginal relation reconciliation lhonorable michael de jong ministre aboriginal relation reconciliation
Tsawwassen First Nation Final Agreement,2007,Signatories to the agreement,,,"_______________________________
Witnessed by/Témoin : Bronwen Beedle
Chief Provincial Negotiator/négociatrice provinciale en chef",signatory agreement,witnessed bytémoin bronwen beedle chief provincial negotiatornégociatrice provinciale en chef
Tsawwassen First Nation Final Agreement,2007,Preamble,Whereas:,(0)(a),"Tsawwassen First Nation are Coast Salish, an aboriginal people, and speak a dialect of the Hun'qum'i'num language;",preamble whereas,coast salish aboriginal people speak dialect hunquminum language
Tsawwassen First Nation Final Agreement,2007,Preamble,Whereas:,(0)(b),"Tsawwassen First Nation claim aboriginal rights based on their assertion of a unique, current and historical, cultural connection and use, since time immemorial, to the lands, waters and resources surrounding those areas of Roberts Bank, the Fraser River, the Fraser River estuary, Pitt Lake, the Pitt River, the Serpentine River, the Nicomekl River, Boundary Bay and the Gulf Islands, that comprise Tsawwassen Territory in Canada;",preamble whereas,claim aboriginal right based assertion unique current historical cultural connection use since time immemorial land water resource surrounding area robert bank fraser river fraser river estuary pitt lake pitt river serpentine river nicomekl river boundary bay gulf island comprise territory canada
Tsawwassen First Nation Final Agreement,2007,Preamble,Whereas:,(0)(c),"The Constitution Act, 1982 recognizes and affirms the existing aboriginal and treaty rights of the aboriginal peoples of Canada, and the courts have stated that aboriginal rights include aboriginal title;",preamble whereas,constitution act recognizes affirms existing aboriginal treaty right aboriginal people canada court stated aboriginal right include aboriginal title
Tsawwassen First Nation Final Agreement,2007,Preamble,Whereas:,(0)(d),"Tsawwassen First Nation asserts that it has an inherent right to self-government, and the Government of Canada has negotiated self-government in this Agreement based on its policy that the inherent right to self-government is an existing aboriginal right within Section 35 of the Constitution Act, 1982;",preamble whereas,asserts inherent right selfgovernment government canada negotiated selfgovernment agreement based policy inherent right selfgovernment existing aboriginal right within constitution act
Tsawwassen First Nation Final Agreement,2007,Preamble,Whereas:,(0)(e),Tsawwassen First Nation has never entered into a treaty or land claims agreement with the Crown;,preamble whereas,never entered treaty land claim agreement crown
Tsawwassen First Nation Final Agreement,2007,Preamble,Whereas:,(0)(f),Canada established Tsawwassen Indian Reserve for the benefit of the Tsawwassen Indian Band;,preamble whereas,canada established indian reserve benefit indian band
