Agreement,Year,Part,Section,Provision Reference,Provision Text,search_part,search_text
Tlicho Agreement,2003,,,,"Date: Signed August 25, 2003",,date signed august
Tlicho Agreement,2003,,,,"  Download PDF Version (706 Kb, 219 Pages)",,download pdf version kb page
Tlicho Agreement,2003,Pronunciation Guide For Terms Used In Agreement,,,"Tlicho
(meaning ""Dogrib"")",pronunciation guide term used agreement,meaning dogrib
Tlicho Agreement,2003,Pronunciation Guide For Terms Used In Agreement,,,tlee-chon,pronunciation guide term used agreement,tleechon
Tlicho Agreement,2003,Pronunciation Guide For Terms Used In Agreement,,,"Monfwi Gogha De Niitlee
(it is the traditional area of the Tlicho, described by Chief Monfwi during the signing of Treaty 11 in 1921)",pronunciation guide term used agreement,monfwi gogha de niitlee traditional area described chief monfwi signing treaty
Tlicho Agreement,2003,Pronunciation Guide For Terms Used In Agreement,,,mon-fwee go-ga de-neat-lay,pronunciation guide term used agreement,monfwee goga deneatlay
Tlicho Agreement,2003,Pronunciation Guide For Terms Used In Agreement,,,"Wekeezhii
(the ""management area"" of the Agreement)",pronunciation guide term used agreement,wekeezhii management area agreement
Tlicho Agreement,2003,Pronunciation Guide For Terms Used In Agreement,,,way-keh-zi,pronunciation guide term used agreement,waykehzi
Tlicho Agreement,2003,Pronunciation Guide For Terms Used In Agreement,,,"Behchoko
(also known as Rae-Edzo)",pronunciation guide term used agreement,behchoko also known raeedzo
Tlicho Agreement,2003,Pronunciation Guide For Terms Used In Agreement,,,bay-cho-ko,pronunciation guide term used agreement,baychoko
Tlicho Agreement,2003,Pronunciation Guide For Terms Used In Agreement,,,"Whati
(also known as Lac La Martre)",pronunciation guide term used agreement,whati also known lac la martre
Tlicho Agreement,2003,Pronunciation Guide For Terms Used In Agreement,,,what-tea,pronunciation guide term used agreement,whattea
Tlicho Agreement,2003,Pronunciation Guide For Terms Used In Agreement,,,"Gameti
(also known as Rae Lakes)",pronunciation guide term used agreement,gameti also known rae lake
Tlicho Agreement,2003,Pronunciation Guide For Terms Used In Agreement,,,gam-ma-tea,pronunciation guide term used agreement,gammatea
Tlicho Agreement,2003,Pronunciation Guide For Terms Used In Agreement,,,"Wekweeti
(also known as Snare Lake)",pronunciation guide term used agreement,wekweeti also known snare lake
Tlicho Agreement,2003,Pronunciation Guide For Terms Used In Agreement,,,wek-way-tea,pronunciation guide term used agreement,wekwaytea
Tlicho Agreement,2003,Pronunciation Guide For Terms Used In Agreement,,,"Ezodziti
(a Taicho heritage area)",pronunciation guide term used agreement,ezodziti taicho heritage area
Tlicho Agreement,2003,Pronunciation Guide For Terms Used In Agreement,,,eh-zod-ze-tea,pronunciation guide term used agreement,ehzodzetea
Tlicho Agreement,2003,Preamble,,,"TLICHO LAND CLAIMS AND SELF GOVERNMENT AGREEMENT
among
THE TLICHO
and
THE GOVERNMENT OF THE NORTHWEST TERRITORIES
and
THE GOVERNMENT OF CANADA",preamble,land claim self government agreement among government northwest territory government canada
Tlicho Agreement,2003,Preamble,,,WHEREAS,preamble,whereas
Tlicho Agreement,2003,Preamble,,,the Tlicho is an Aboriginal people of Canada that has used and occupied lands in and adjacent to the Northwest Territories from time immemorial;,preamble,aboriginal people canada used occupied land adjacent northwest territory time immemorial
Tlicho Agreement,2003,Preamble,,,WHEREAS,preamble,whereas
Tlicho Agreement,2003,Preamble,,,"Treaty 11 was signed at Fort Rae on August 22,1921, with Chief Monfwi and Headmen Jermain and Beaulieu representing the Tlicho;",preamble,treaty signed fort rae august chief monfwi headman jermain beaulieu representing
Tlicho Agreement,2003,Preamble,,,WHEREAS,preamble,whereas
Tlicho Agreement,2003,Preamble,,,"at the signing of Treaty 11, Chief Monfwi described the traditional Tlicho use area known to the Tlicho as Monfwi Gogha De Niitlee, which area is described in part 1 of the appendix to chapter 1;",preamble,signing treaty chief monfwi described traditional use area known monfwi gogha de niitlee area described part appendix
