Agreement,Year,Part,Section,Provision Reference,Provision Text,search_text
Westbank First Nation Self-Government,2005,Agreement between Her Majesty the Queen in Right of Canada and Westbank First Nation,,,"  PDF Version (293 Kb, 89 pages)",agreement majesty queen right canada westbank pdf version kb page
Westbank First Nation Self-Government,2005,Preamble,,,"This Agreement is made the _____ day of _______________, 2003,",preamble agreement made day
Westbank First Nation Self-Government,2005,Preamble,,,BETWEEN:,preamble 
Westbank First Nation Self-Government,2005,Preamble,,,"WESTBANK FIRST NATION, as represented by the Chief and Council of Westbank First Nation, hereinafter referred to as ""Westbank First Nation"",",preamble westbank represented chief council westbank hereinafter referred westbank
Westbank First Nation Self-Government,2005,Preamble,,,AND:,preamble 
Westbank First Nation Self-Government,2005,Preamble,,,"HER MAJESTY THE QUEEN in right of Canada, as represented by the Minister of Indian Affairs and Northern Development, hereinafter referred to as ""Canada"".",preamble majesty queen right canada represented minister indian affair northern development hereinafter referred canada
Westbank First Nation Self-Government,2005,Preamble,,,WHEREAS:,preamble whereas
Westbank First Nation Self-Government,2005,Preamble,,,"the Parties entered into an Agreement-in-Principle on July 13, 1998 which contemplated a Final Agreement to be concluded substantially in the form of the Agreement-in-Principle;",preamble party entered agreementinprinciple july contemplated final agreement concluded substantially form agreementinprinciple
Westbank First Nation Self-Government,2005,Preamble,,,WHEREAS:,preamble whereas
Westbank First Nation Self-Government,2005,Preamble,,,"the Government of Canada recognizes that the inherent right of self-government is an existing aboriginal right within section 35 of the Constitution Act, 1982;",preamble government canada recognizes inherent right selfgovernment existing aboriginal right within constitution act
Westbank First Nation Self-Government,2005,Preamble,,,WHEREAS:,preamble whereas
Westbank First Nation Self-Government,2005,Preamble,,,the Parties to this Agreement acknowledge that they may have different legal views as to the scope and content of an inherent right of self-government;,preamble party agreement acknowledge may different legal view scope content inherent right selfgovernment
Westbank First Nation Self-Government,2005,Preamble,,,WHEREAS:,preamble whereas
Westbank First Nation Self-Government,2005,Preamble,,,the Parties nevertheless intend by this Agreement to set out certain arrangements for a number of jurisdictions for implementation of the inherent right of self-government by Westbank First Nation on Westbank Lands without taking any definitive positions with respect to how an inherent right of self-government may ultimately be defined at law;,preamble party nevertheless intend agreement set certain arrangement number jurisdiction implementation inherent right selfgovernment westbank westbank land without taking definitive position respect inherent right selfgovernment may ultimately defined law
Westbank First Nation Self-Government,2005,Preamble,,,WHEREAS:,preamble whereas
Westbank First Nation Self-Government,2005,Preamble,,,"Westbank First Nation asserts that it has unextinguished aboriginal title, and jurisdictions based on aboriginal title and that its aboriginal title includes Westbank Lands;",preamble westbank asserts unextinguished aboriginal title jurisdiction based aboriginal title aboriginal title includes westbank land
Westbank First Nation Self-Government,2005,Preamble,,,WHEREAS:,preamble whereas
Westbank First Nation Self-Government,2005,Preamble,,,Westbank First Nation states that it is part of the Okanagan Nation. This Agreement is without prejudice to other First Nations within the Okanagan Nation or to their systems or institutions of self-governance;,preamble westbank state okanagan agreement without prejudice nation within okanagan system institution selfgovernance
Westbank First Nation Self-Government,2005,Preamble,,,WHEREAS:,preamble whereas
Westbank First Nation Self-Government,2005,Preamble,,,Westbank First Nation recognizes the need to provide good government for all persons residing on Westbank Lands;,preamble westbank recognizes need provide good government person residing westbank land
Westbank First Nation Self-Government,2005,Preamble,,,WHEREAS:,preamble whereas
Westbank First Nation Self-Government,2005,Preamble,,,Westbank First Nation will continue to consult and may enter into agreements with neighbouring local governments to maintain good relations and coordinate activities or in respect of other such matters as Westbank First Nation desires.,preamble westbank continue consult may enter agreement neighbouring local government maintain good relation coordinate activity respect matter westbank desire
Westbank First Nation Self-Government,2005,Preamble,,,NOW THEREFORE THE PARTIES AGREE TO THE FOLLOWING AS THE AGREEMENT:,preamble therefore party agree following agreement
Westbank First Nation Self-Government,2005,Part I - Definitions,,,In this Agreement:,definition agreement
Westbank First Nation Self-Government,2005,Part I - Definitions,,,"""Agreement"" means this Agreement between Westbank First Nation and Canada.",definition agreement mean agreement westbank canada
Westbank First Nation Self-Government,2005,Part I - Definitions,,,"""Band"" means the body of Indians declared to be a band for the purposes of the Indian Act by P.C. 1973-3571, referred to as ""Westbank First Nation"".",definition band mean body indian declared band purpose indian act pc referred westbank
