Agreement,Year,Part,Section,Provision Reference,Provision Text,search_part,search_text
"Chapter 7:
    Moving Forward on Reconciliation",2022,,,,"The federal government is committed to a renewed nation-to-nation relationship with Indigenous peoples based on recognition of rights, respect, truth, co-operation, and partnership.",,federal government committed renewed nationtonation relationship indigenous people based recognition right respect truth cooperation partnership
"Chapter 7:
    Moving Forward on Reconciliation",2022,,,,"Since 2015, the federal government has been guided by the principle that Indigenous nations are self-determining, self-governing, and rightfully aspire to having strong and healthy communities. Historic investments have been made to support Indigenous priorities and their path to self-determination. These investments are building progress to address the inequalities that exist between Indigenous and non-Indigenous peoples in Canada. But there is more work to be done and the federal government will continue to be there to work alongside Indigenous peoples to address historic injustices.",,since federal government guided principle indigenous nation selfdetermining selfgoverning rightfully aspire strong healthy community historic investment made support indigenous priority path selfdetermination investment building progress address inequality exist indigenous nonindigenous people canada work done federal government continue work alongside indigenous people address historic injustice
"Chapter 7:
    Moving Forward on Reconciliation",2022,,,,"The government continues to work with Indigenous peoples to improve housing infrastructure, to support education and child care, to take action on the tragedy of missing and murdered Indigenous women and girls, and to respond to the Truth and Reconciliation Commission’s Calls to Action.",,government continues work indigenous people improve housing infrastructure support education child care take action tragedy missing murdered indigenous woman girl respond truth reconciliation commission ’ call action
"Chapter 7:
    Moving Forward on Reconciliation",2022,,,,"With the help of $5.3 billion in new funding announced since 2015, 131 long-term drinking water advisories have been lifted on reserve as of March 21, 2022, and 212 short-term drinking water advisories have been prevented from becoming long-term. The federal government remains committed to ensuring all First Nations communities have access to clean drinking water.",,help billion new funding announced since longterm drinking water advisory lifted reserve march shortterm drinking water advisory prevented becoming longterm federal government remains committed ensuring first nation community access clean drinking water
"Chapter 7:
    Moving Forward on Reconciliation",2022,,,,Source: Indigenous Services Canada,,source indigenous service canada
"Chapter 7:
    Moving Forward on Reconciliation",2022,,,,"The federal government has also co-developed key legislation that affirms Indigenous rights related to Indigenous languages and child welfare. The United Nations Declaration on the Rights of Indigenous Peoples Act, which became law in June 2021, provides a framework to uphold Indigenous rights, both now and in the future. In the 2021 Economic and Fiscal Update, the government provisioned $40 billion to compensate for past harms experienced through the child and family services system and to support long-term program reforms that will ensure no child faces discrimination again.",,federal government also codeveloped key legislation affirms indigenous right related indigenous language child welfare united nation declaration right indigenous people act became law june provides framework uphold indigenous right future economic fiscal update government provisioned billion compensate past harm experienced child family service system support longterm program reform ensure child face discrimination
"Chapter 7:
    Moving Forward on Reconciliation",2022,,,,"Building on this foundation, Budget 2022 proposes to invest an additional $11 billion over six years to continue to support Indigenous children and families, and to help Indigenous communities continue to grow and shape their futures.",,building foundation budget proposes invest additional billion six year continue support indigenous child family help indigenous community continue grow shape future
"Chapter 7:
    Moving Forward on Reconciliation",2022,,,,"Notes: This figure does not include $20 billion in proposed compensation to address harms caused by the First Nations Child and Family Services Program and for delays or denials in needed children's services (as announced in the 2021 Economic and Fiscal Update).
          The $20 billion previously announced to respond to orders from the Canadian Human Rights Tribunal and support long-term reforms to the First Nations Child and Family Services Program is over five years, starting in 2022-23 through to 2026-27.
          Sources: Public Accounts of Canada; Department of Finance Canada.",,note figure include billion proposed compensation address harm caused first nation child family service program delay denial needed childrens service announced economic fiscal update billion previously announced respond order canadian human right tribunal support longterm reform first nation child family service program five year starting source public account canada department finance canada
"Chapter 7:
    Moving Forward on Reconciliation",2022,Key Ongoing Actions,,,"Budget 2021 provided $18 billion in new investments to support Indigenous peoples and Indigenous communities, including a range of measures that are delivering important benefits in 2022-23:",key ongoing action,budget provided billion new investment support indigenous people indigenous community including range measure delivering important benefit
"Chapter 7:
    Moving Forward on Reconciliation",2022,Key Ongoing Actions,,," 
$6 billion over five years to support community infrastructure projects in Indigenous communities, including the launch of the $4.3 billion Indigenous Community Infrastructure Fund;
",key ongoing action,billion five year support community infrastructure project indigenous community including launch billion indigenous community infrastructure fund
"Chapter 7:
    Moving Forward on Reconciliation",2022,Key Ongoing Actions,,," 
$1.04 billion from the $4.3 billion Indigenous Community Infrastructure Fund to support water and wastewater systems on reserve;
",key ongoing action,billion billion indigenous community infrastructure fund support water wastewater system reserve
"Chapter 7:
    Moving Forward on Reconciliation",2022,Key Ongoing Actions,,," 
$1.4 billion over five years to maintain and transform essential health care services for First Nations and Inuit, including funding to support First Nations communities’ reliable access to clean water.
",key ongoing action,billion five year maintain transform essential health care service first nation inuit including funding support first nation community ’ reliable access clean water
"Chapter 7:
    Moving Forward on Reconciliation",2022,Key Ongoing Actions,,," 
$2.2 billion over five years to respond to the tragedy of missing and murdered Indigenous women and girls;
",key ongoing action,billion five year respond tragedy missing murdered indigenous woman girl
"Chapter 7:
    Moving Forward on Reconciliation",2022,Key Ongoing Actions,,," 
$1 billion over five years to help keep families together and reduce the number of children in care;
",key ongoing action,billion five year help keep family together reduce number child care
"Chapter 7:
    Moving Forward on Reconciliation",2022,Key Ongoing Actions,,," 
$2.5 billion over five years to build on the distinctions-based approach to Indigenous early learning and child care, including before- and after-school care on reserve;
",key ongoing action,billion five year build distinctionsbased approach indigenous early learning child care including afterschool care reserve
"Chapter 7:
    Moving Forward on Reconciliation",2022,Key Ongoing Actions,,," 
$1.2 billion over five years to invest in the future of First Nations children by strengthening elementary and secondary education; and,
",key ongoing action,billion five year invest future first nation child strengthening elementary secondary education
"Chapter 7:
    Moving Forward on Reconciliation",2022,Key Ongoing Actions,,," 
$2.7 billion over ten years in funding for core programs and services provided through ten-year grants to ensure funding keeps pace with the needs of First Nations.
",key ongoing action,billion ten year funding core program service provided tenyear grant ensure funding keep pace need first nation
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.1 Addressing Past Harms and Discrimination Related to Indigenous Children and Families,,,"Indigenous children are the future leaders of both their communities and Canada, but generations of children were robbed of the chance to grow up surrounded by their loved ones, language, and culture—whether due to the tragedy of residential schools, or as a result of child welfare services. Canada has acknowledged the harms suffered and has begun the process of compensating the survivors of this shameful legacy, starting with the Indian Residential Schools Settlement Agreement and similar settlements for survivors of the Sixties Scoop and Federal Indian Day Schools.",addressing past harm discrimination related indigenous child family,indigenous child future leader community canada generation child robbed chance grow surrounded loved one language culture—whether due tragedy residential school result child welfare service canada acknowledged harm suffered begun process compensating survivor shameful legacy starting indian residential school settlement agreement similar settlement survivor sixty scoop federal indian day school
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.1 Addressing Past Harms and Discrimination Related to Indigenous Children and Families,,,"Canada also continues to work with partners to finalize settlements that will deliver on the historic $40 billion agreements-in-principle announced on January 4, 2022. Once final, these settlements will provide compensation for First Nations children on reserves and in Yukon who were removed from their homes, and those impacted by the government's narrow definition of Jordan's Principle, including for their parents and caregivers. They will also achieve long-term reform of the First Nations Child and Family Services program and a renewed approach to Jordan's Principle to eliminate discrimination and prevent it from recurring.",addressing past harm discrimination related indigenous child family,canada also continues work partner finalize settlement deliver historic billion agreementsinprinciple announced january final settlement provide compensation first nation child reserve yukon removed home impacted government narrow definition jordan principle including parent caregiver also achieve longterm reform first nation child family service program renewed approach jordan principle eliminate discrimination prevent recurring
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.1 Addressing Past Harms and Discrimination Related to Indigenous Children and Families,,,Budget 2022 continues the work of addressing the legacy of harms to Indigenous children and families with additional investments of more than $4.7 billion to support communities as they cope with their past and build a future where Indigenous children can thrive.,addressing past harm discrimination related indigenous child family,budget continues work addressing legacy harm indigenous child family additional investment billion support community cope past build future indigenous child thrive
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.1 Addressing Past Harms and Discrimination Related to Indigenous Children and Families,"Supporting First Nations Children Through Jordan’s Principle 
View the impact assessment
",,"The federal government is committed to eliminating the systemic barriers that prevent First Nations children from accessing services and support they need to thrive. Jordan’s Principle is a vital part of this work, helping to ensure that all First Nations children can access the health, social, and educational services they need, when they need them. Since 2016, the government has committed nearly $2.4 billion towards meeting the needs of First Nations children through Jordan’s Principle.",addressing past harm discrimination related indigenous child family supporting first nation child jordan ’ principle view impact assessment,federal government committed eliminating systemic barrier prevent first nation child accessing service support need thrive jordan ’ principle vital work helping ensure first nation child access health social educational service need need since government committed nearly billion towards meeting need first nation child jordan ’ principle
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.1 Addressing Past Harms and Discrimination Related to Indigenous Children and Families,"Supporting First Nations Children Through Jordan’s Principle 
View the impact assessment
",,"
Budget 2022 proposes to provide $4 billion over six years, starting in 2021-22, to ensure First Nations children continue to receive the support they need through Jordan’s Principle. This funding will also support long-term reforms to improve the implementation of Jordan’s Principle.
",addressing past harm discrimination related indigenous child family supporting first nation child jordan ’ principle view impact assessment,budget proposes provide billion six year starting ensure first nation child continue receive support need jordan ’ principle funding also support longterm reform improve implementation jordan ’ principle
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.1 Addressing Past Harms and Discrimination Related to Indigenous Children and Families,Honouring Jordan River Anderson,,"Jordan's Principle is named in  memory of Jordan River Anderson, a young boy from Norway House Cree Nation in  Manitoba. He was born in 1999 with multiple disabilities and stayed in the  hospital from birth.",addressing past harm discrimination related indigenous child family honouring jordan river anderson,jordan principle named memory jordan river anderson young boy norway house cree nation manitoba born multiple disability stayed hospital birth
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.1 Addressing Past Harms and Discrimination Related to Indigenous Children and Families,Honouring Jordan River Anderson,,"When he was two years old, doctors  said Jordan could move to a special home for his medical needs. However,  different orders of government in Canada fund different services for First  Nations children. The federal and provincial governments could not agree on  who would pay for his home-based care, and because of their dispute, Jordan  stayed in hospital until he passed away at the age of five.",addressing past harm discrimination related indigenous child family honouring jordan river anderson,two year old doctor said jordan could move special home medical need however different order government canada fund different service first nation child federal provincial government could agree would pay homebased care dispute jordan stayed hospital passed away age five
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.1 Addressing Past Harms and Discrimination Related to Indigenous Children and Families,Honouring Jordan River Anderson,,"In his memory, the House of Commons  passed a motion in support of Jordan's Principle in 2007. Jordan’s Principle  was a commitment that First Nations children would be able to receive the services  and supports they need, when they need them—payments would be worked out  later.",addressing past harm discrimination related indigenous child family honouring jordan river anderson,memory house common passed motion support jordan principle jordan ’ principle commitment first nation child would able receive service support need need them—payments would worked later
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.1 Addressing Past Harms and Discrimination Related to Indigenous Children and Families,Honouring Jordan River Anderson,,The government is working to reach a  final agreement with First Nations representatives on how to support First  Nations children for generations to come.,addressing past harm discrimination related indigenous child family honouring jordan river anderson,government working reach final agreement first nation representative support first nation child generation come
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.1 Addressing Past Harms and Discrimination Related to Indigenous Children and Families,Honouring Jordan River Anderson,,This is the legacy of Jordan River Anderson.,addressing past harm discrimination related indigenous child family honouring jordan river anderson,legacy jordan river anderson
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.1 Addressing Past Harms and Discrimination Related to Indigenous Children and Families,"Implementing Indigenous Child Welfare Legislation 
View the impact assessment
",,"The government is committed to addressing theImplementing Indigenous Child Welfare Legislation over-representation of Indigenous children and youth in care. An Act respecting First Nations, Inuit and Métis children, youth and families came into force on January 1, 2020, and is an important step towards meaningfully addressing disparities in the child and family services system. In 2021, the Cowessess First Nation in Saskatchewan became the first community to sign a Coordination Agreement, reclaiming jurisdiction over their child welfare system and the right to make decisions about what is best for their children and families.",addressing past harm discrimination related indigenous child family implementing indigenous child welfare legislation view impact assessment,government committed addressing theimplementing indigenous child welfare legislation overrepresentation indigenous child youth care act respecting first nation inuit métis child youth family came force january important step towards meaningfully addressing disparity child family service system cowessess first nation saskatchewan became first community sign coordination agreement reclaiming jurisdiction child welfare system right make decision best child family
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.1 Addressing Past Harms and Discrimination Related to Indigenous Children and Families,"Implementing Indigenous Child Welfare Legislation 
View the impact assessment
",,"Many more Indigenous communities are taking the steps they need to do the same. Investments in Indigenous-led solutions are required to both reduce the number of children in care, and to keep Indigenous children and youth connected to their families, their communities, and their culture. Budget 2022 proposes important funding to support the Act’s implementation and affirm Indigenous jurisdiction over child and family services.",addressing past harm discrimination related indigenous child family implementing indigenous child welfare legislation view impact assessment,many indigenous community taking step need investment indigenousled solution required reduce number child care keep indigenous child youth connected family community culture budget proposes important funding support act ’ implementation affirm indigenous jurisdiction child family service
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.1 Addressing Past Harms and Discrimination Related to Indigenous Children and Families,"Implementing Indigenous Child Welfare Legislation 
View the impact assessment
",," 
Budget 2022 provides $340.8 million over ten years, starting in 2021-22, to support Wabaseemoong Independent Nations’ exercise of jurisdiction.
",addressing past harm discrimination related indigenous child family implementing indigenous child welfare legislation view impact assessment,budget provides million ten year starting support wabaseemoong independent nation ’ exercise jurisdiction
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.1 Addressing Past Harms and Discrimination Related to Indigenous Children and Families,"Implementing Indigenous Child Welfare Legislation 
View the impact assessment
",," 
Budget 2022 also proposes to provide $87.3 million over three years, starting in 2022-23, to enable Indigenous communities to continue to work with the federal government and the provinces and territories to support the implementation of Indigenous child welfare laws.
",addressing past harm discrimination related indigenous child family implementing indigenous child welfare legislation view impact assessment,budget also proposes provide million three year starting enable indigenous community continue work federal government province territory support implementation indigenous child welfare law
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.1 Addressing Past Harms and Discrimination Related to Indigenous Children and Families,Addressing the Shameful Legacy of Residential Schools,,"The country was shaken following the multiple discoveries of unmarked burial sites at former residential schools over the past year, which are reminders of the shameful legacy of residential schools and colonialism.",addressing past harm discrimination related indigenous child family addressing shameful legacy residential school,country shaken following multiple discovery unmarked burial site former residential school past year reminder shameful legacy residential school colonialism
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.1 Addressing Past Harms and Discrimination Related to Indigenous Children and Families,Addressing the Shameful Legacy of Residential Schools,,"The announcements of these mass burial sites have brought up painful memories, and triggered suppressed traumas within Indigenous communities. Survivors and their families have experienced an increased need for emotional and cultural support. The federal government will continue to be there to support communities as they respond to and heal from intergenerational trauma and the ongoing impact of residential schools. Addressing the legacy of residential schools will take time, and Canada will undertake this work in partnership with Indigenous people and communities.",addressing past harm discrimination related indigenous child family addressing shameful legacy residential school,announcement mass burial site brought painful memory triggered suppressed trauma within indigenous community survivor family experienced increased need emotional cultural support federal government continue support community respond heal intergenerational trauma ongoing impact residential school addressing legacy residential school take time canada undertake work partnership indigenous people community
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.1 Addressing Past Harms and Discrimination Related to Indigenous Children and Families,Addressing the Shameful Legacy of Residential Schools,," 
Budget 2022 proposes to provide $209.8 million over five years, starting in 2022-23, to Crown-Indigenous Relations and Northern Affairs Canada to increase the support provided to communities to document, locate, and memorialize burial sites at former residential schools; to support the operations of and a new building for the National Centre for Truth and Reconciliation; and to ensure the complete disclosure of federal documents related to residential schools.
",addressing past harm discrimination related indigenous child family addressing shameful legacy residential school,budget proposes provide million five year starting crownindigenous relation northern affair canada increase support provided community document locate memorialize burial site former residential school support operation new building national centre truth reconciliation ensure complete disclosure federal document related residential school
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.1 Addressing Past Harms and Discrimination Related to Indigenous Children and Families,Addressing the Shameful Legacy of Residential Schools,," 
Budget 2022 also proposes $10.4 million over two years, starting in 2022-23, to Justice Canada to support the appointment of a Special Interlocutor who will work collaboratively with Indigenous peoples and make recommendations for changes to strengthen federal laws and practices to protect and preserve unmarked burial sites.
",addressing past harm discrimination related indigenous child family addressing shameful legacy residential school,budget also proposes million two year starting justice canada support appointment special interlocutor work collaboratively indigenous people make recommendation change strengthen federal law practice protect preserve unmarked burial site
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.1 Addressing Past Harms and Discrimination Related to Indigenous Children and Families,Addressing the Shameful Legacy of Residential Schools,," 
Budget 2022 also proposes $5.1 million over five years, starting in 2022-23, to Public Safety Canada to ensure the Royal Canadian Mounted Police can support community-led responses to unmarked burial sites.
",addressing past harm discrimination related indigenous child family addressing shameful legacy residential school,budget also proposes million five year starting public safety canada ensure royal canadian mounted police support communityled response unmarked burial site
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.1 Addressing Past Harms and Discrimination Related to Indigenous Children and Families,Addressing the Shameful Legacy of Residential Schools,," 
Budget 2022 also proposes $25 million over three years, starting in 2022-23, to Library and Archives Canada to support the digitization of millions of documents relating to the federal Indian Day School System, which will ensure survivors and all Canadians have meaningful access to them.
",addressing past harm discrimination related indigenous child family addressing shameful legacy residential school,budget also proposes million three year starting library archive canada support digitization million document relating federal indian day school system ensure survivor canadian meaningful access
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.1 Addressing Past Harms and Discrimination Related to Indigenous Children and Families,Addressing the Shameful Legacy of Residential Schools,," 
Budget 2022 also proposes to provide $25 million over three years, starting in 2022-23, to Parks Canada to support the commemoration and memorialization of former residential schools sites.
",addressing past harm discrimination related indigenous child family addressing shameful legacy residential school,budget also proposes provide million three year starting park canada support commemoration memorialization former residential school site
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.2 Supporting Strong and Healthy Communities,,,"Budget 2021 announced historic investments to support Indigenous communities. However, making good on the government’s commitments to close gaps between Indigenous and non-Indigenous peoples in Canada, and building strong and resilient Indigenous communities will require sustained focus and effort.",supporting strong healthy community,budget announced historic investment support indigenous community however making good government ’ commitment close gap indigenous nonindigenous people canada building strong resilient indigenous community require sustained focus effort
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.2 Supporting Strong and Healthy Communities,,,"Bolstered by previous investments, Budget 2022 seeks to shore up the foundations necessary for healthy communities, including housing and clean drinking water. It also seeks to address ongoing health and mental wellness challenges by ensuring continued access to culturally-appropriate services that meet the unique needs of Indigenous peoples and communities. Proposed investments will also strengthen First Nations control over elementary and secondary education on reserve.",supporting strong healthy community,bolstered previous investment budget seek shore foundation necessary healthy community including housing clean drinking water also seek address ongoing health mental wellness challenge ensuring continued access culturallyappropriate service meet unique need indigenous people community proposed investment also strengthen first nation control elementary secondary education reserve
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.2 Supporting Strong and Healthy Communities,"Improving Health Outcomes in Indigenous Communities 
View the impact assessment
",,"As Canada comes through the pandemic, the government will continue making high-quality and culturally-relevant health care, free from discrimination, a reality for Indigenous peoples. This remains a significant task, but work is already underway with Indigenous partners and the provinces and territories to co-develop distinctions-based Indigenous health legislation and ensure health services are responsive to the distinct needs of all Indigenous people, no matter where they live.",supporting strong healthy community improving health outcome indigenous community view impact assessment,canada come pandemic government continue making highquality culturallyrelevant health care free discrimination reality indigenous people remains significant task work already underway indigenous partner province territory codevelop distinctionsbased indigenous health legislation ensure health service responsive distinct need indigenous people matter live
"Chapter 7:
    Moving Forward on Reconciliation",2022,7.2 Supporting Strong and Healthy Communities,"Improving Health Outcomes in Indigenous Communities 
View the impact assessment
",," 
Budget 2022 proposes to invest $268 million in 2022-23 to continue to provide high-quality health care in remote and isolated First Nations communities on-reserve.
",supporting strong healthy community improving health outcome indigenous community view impact assessment,budget proposes invest million continue provide highquality health care remote isolated first nation community onreserve
